127.0.0.1, 2013-03-04 11:41:02, GET, /cqg/quiz, HTTP/1.1, 200, 0.378091
127.0.0.1, 2013-03-04 11:41:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000561
127.0.0.1, 2013-03-04 11:41:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000370
127.0.0.1, 2013-03-04 11:41:13, GET, /cqg/quiz, HTTP/1.1, 200, 0.302493
127.0.0.1, 2013-03-04 11:41:17, GET, /cqg/quiz, HTTP/1.1, 200, 0.296636
127.0.0.1, 2013-03-04 11:41:19, GET, /cqg/quiz, HTTP/1.1, 200, 0.295186
127.0.0.1, 2013-03-04 11:41:26, GET, /cqg/quiz, HTTP/1.1, 200, 0.294905
127.0.0.1, 2013-03-04 11:41:28, GET, /cqg/quiz, HTTP/1.1, 200, 0.295827
127.0.0.1, 2013-03-04 11:41:32, GET, /cqg/quiz, HTTP/1.1, 200, 0.007028
127.0.0.1, 2013-03-04 11:41:33, GET, /cqg/quiz, HTTP/1.1, 200, 0.006994
127.0.0.1, 2013-03-05 11:40:00, GET, /cqg/quiz, HTTP/1.1, 200, 0.304763
127.0.0.1, 2013-03-05 11:40:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000772
127.0.0.1, 2013-03-05 11:40:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000366
127.0.0.1, 2013-03-05 11:56:55, GET, /cqg/quiz, HTTP/1.1, 200, 0.037091
127.0.0.1, 2013-03-05 11:58:41, GET, /cqg/quiz, HTTP/1.1, 200, 0.003551
127.0.0.1, 2013-03-05 11:58:43, GET, /cqg/quiz, HTTP/1.1, 200, 0.003518
127.0.0.1, 2013-03-05 11:58:54, GET, /cqg/quiz, HTTP/1.1, 200, 0.009858
127.0.0.1, 2013-03-05 12:01:40, GET, /cqg/quiz, HTTP/1.1, 200, 0.016921
127.0.0.1, 2013-03-05 12:02:34, GET, /cqg/quiz, HTTP/1.1, 200, 0.036545
127.0.0.1, 2013-03-05 12:03:56, GET, /cqg/quiz, HTTP/1.1, 200, 0.017158
127.0.0.1, 2013-03-05 12:03:57, GET, /cqg/quiz, HTTP/1.1, 200, 0.017115
127.0.0.1, 2013-03-05 12:03:58, GET, /cqg/quiz, HTTP/1.1, 200, 0.017004
127.0.0.1, 2013-03-05 12:04:00, GET, /cqg/quiz, HTTP/1.1, 200, 0.016819
